"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1110","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:57:43 UTC 2025","passed","Fri Aug 15 07:57:44 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","49449","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:02:01 UTC 2025","broken","Fri Aug 15 08:02:51 UTC 2025","TestChosen","test_chosen_category","",""
"","3475","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:13 UTC 2025","passed","Fri Aug 15 08:06:17 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3171","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:11 UTC 2025","passed","Fri Aug 15 08:01:14 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","4313","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:17 UTC 2025","passed","Fri Aug 15 08:04:21 UTC 2025","TestNavbar","test_navbar","",""
"","1597","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:00:02 UTC 2025","passed","Fri Aug 15 08:00:04 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","2465","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:18 UTC 2025","passed","Fri Aug 15 07:59:21 UTC 2025","TestChosen","test_chosen_category","",""
"","3525","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:42 UTC 2025","passed","Fri Aug 15 08:06:45 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3427","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:17 UTC 2025","passed","Fri Aug 15 08:01:20 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","969","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:59:28 UTC 2025","passed","Fri Aug 15 07:59:29 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
