"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1327","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:55:25 UTC 2025","passed","Sat Aug 23 15:55:26 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1592","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:54:47 UTC 2025","passed","Sat Aug 23 15:54:49 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","3034","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:01:03 UTC 2025","passed","Sat Aug 23 16:01:06 UTC 2025","TestScrollUp","test_scroll_up","",""
"","6061","Checking navbar on static pages","tests.test_navbar","Sat Aug 23 15:59:00 UTC 2025","passed","Sat Aug 23 15:59:06 UTC 2025","TestNavbar","test_navbar","",""
"","808","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:53:34 UTC 2025","passed","Sat Aug 23 15:53:35 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2145","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:55:56 UTC 2025","passed","Sat Aug 23 15:55:58 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3489","Checking navbar on static pages","tests.test_navbar","Sat Aug 23 15:59:26 UTC 2025","passed","Sat Aug 23 15:59:30 UTC 2025","TestNavbar","test_navbar","",""
"","3894","Checking brands on static pages","tests.test_brands","Sat Aug 23 15:55:13 UTC 2025","passed","Sat Aug 23 15:55:17 UTC 2025","","test_brands","",""
"","4813","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:56:20 UTC 2025","passed","Sat Aug 23 15:56:25 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","1094","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:00:40 UTC 2025","passed","Sat Aug 23 16:00:41 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3595","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:01:36 UTC 2025","passed","Sat Aug 23 16:01:40 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3504","Checking navbar on static pages","tests.test_navbar","Sat Aug 23 15:59:34 UTC 2025","passed","Sat Aug 23 15:59:37 UTC 2025","TestNavbar","test_navbar","",""
"","5693","Checking category on static pages","tests.test_category","Sat Aug 23 15:54:50 UTC 2025","passed","Sat Aug 23 15:54:55 UTC 2025","","test_category","",""
"","2196","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:54:41 UTC 2025","passed","Sat Aug 23 15:54:43 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2098","Checking chosen brand on static pages","tests.test_chosen_category","Sat Aug 23 15:57:39 UTC 2025","passed","Sat Aug 23 15:57:41 UTC 2025","TestChosen","test_chosen_category","",""
"","1579","Checking chosen brand on static pages","tests.test_chosen_category","Sat Aug 23 15:57:21 UTC 2025","passed","Sat Aug 23 15:57:23 UTC 2025","TestChosen","test_chosen_category","",""
"","1370","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:54:00 UTC 2025","passed","Sat Aug 23 15:54:02 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","4026","Checking chosen brand on static pages","tests.test_chosen_category","Sat Aug 23 15:57:17 UTC 2025","passed","Sat Aug 23 15:57:21 UTC 2025","TestChosen","test_chosen_category","",""
"","25962","Checking lower panel on cart","tests.test_lower_panel","Sat Aug 23 15:58:47 UTC 2025","passed","Sat Aug 23 15:59:13 UTC 2025","TestLowerPanel > TestLowerPanelRegression","test_lower_panel","",""
"","2002","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:54:14 UTC 2025","passed","Sat Aug 23 15:54:16 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2220","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:56:06 UTC 2025","passed","Sat Aug 23 15:56:09 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","4137","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:00:46 UTC 2025","passed","Sat Aug 23 16:00:50 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2599","Checking navbar on static pages","tests.test_navbar","Sat Aug 23 15:59:45 UTC 2025","passed","Sat Aug 23 15:59:47 UTC 2025","TestNavbar","test_navbar","",""
"","3891","Checking scroll up on signup page","tests.test_scroll_up","Sat Aug 23 16:01:55 UTC 2025","passed","Sat Aug 23 16:01:59 UTC 2025","TestScrollUp > TestScrollUpRegression","test_scroll_up","",""
"","2498","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:58:18 UTC 2025","passed","Sat Aug 23 15:58:21 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","2886","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:57:03 UTC 2025","passed","Sat Aug 23 15:57:06 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3726","Checking chosen brand on static pages","tests.test_chosen_category","Sat Aug 23 15:57:01 UTC 2025","passed","Sat Aug 23 15:57:05 UTC 2025","TestChosen","test_chosen_category","",""
"","1677","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:54:06 UTC 2025","passed","Sat Aug 23 15:54:08 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1212","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:55:21 UTC 2025","passed","Sat Aug 23 15:55:22 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2983","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:58:54 UTC 2025","passed","Sat Aug 23 15:58:57 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3692","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:01:50 UTC 2025","passed","Sat Aug 23 16:01:54 UTC 2025","TestScrollUp","test_scroll_up","",""
"","1299","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:55:23 UTC 2025","passed","Sat Aug 23 15:55:24 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","958","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:53:33 UTC 2025","passed","Sat Aug 23 15:53:34 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","5505","Checking login function","tests.test_authentication","Sat Aug 23 15:54:39 UTC 2025","passed","Sat Aug 23 15:54:44 UTC 2025","TestAuthentication","test_authentication","",""
"","1935","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:55:46 UTC 2025","passed","Sat Aug 23 15:55:48 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","2065","Checking chosen category on static pages","tests.test_chosen_category","Sat Aug 23 15:55:09 UTC 2025","passed","Sat Aug 23 15:55:11 UTC 2025","TestChosen","test_chosen_category","",""
"","1229","Checking breadcrumb on static pages","tests.test_breadcrumb","Sat Aug 23 15:55:28 UTC 2025","passed","Sat Aug 23 15:55:29 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","3120","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:57:10 UTC 2025","passed","Sat Aug 23 15:57:13 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","4383","Checking scroll up on signup page","tests.test_scroll_up","Sat Aug 23 16:01:57 UTC 2025","passed","Sat Aug 23 16:02:01 UTC 2025","TestScrollUp > TestScrollUpRegression","test_scroll_up","",""
"","2921","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:57:58 UTC 2025","passed","Sat Aug 23 15:58:01 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","990","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:00:39 UTC 2025","passed","Sat Aug 23 16:00:40 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2727","Checking chosen category on static pages","tests.test_chosen_category","Sat Aug 23 15:55:15 UTC 2025","passed","Sat Aug 23 15:55:18 UTC 2025","TestChosen","test_chosen_category","",""
"","3432","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:56:56 UTC 2025","passed","Sat Aug 23 15:57:00 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","2286","Checking lower panel on static pages","tests.test_lower_panel","Sat Aug 23 15:55:41 UTC 2025","passed","Sat Aug 23 15:55:43 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","4167","Checking chosen category on static pages","tests.test_chosen_category","Sat Aug 23 15:56:40 UTC 2025","passed","Sat Aug 23 15:56:44 UTC 2025","TestChosen","test_chosen_category","",""
"","15907","Checking navbar panel on signup page","tests.test_navbar","Sat Aug 23 15:59:58 UTC 2025","passed","Sat Aug 23 16:00:13 UTC 2025","TestNavbar > TestNavbarRegression","test_navbar","",""
"","6616","Checking test cases page","tests.test_api_cases","Sat Aug 23 15:53:45 UTC 2025","failed","Sat Aug 23 15:53:52 UTC 2025","TestApiCases","test_api_cases","",""
"","4266","Checking navbar on static pages","tests.test_navbar","Sat Aug 23 16:00:05 UTC 2025","passed","Sat Aug 23 16:00:10 UTC 2025","TestNavbar","test_navbar","",""
"","3582","Checking scroll up on static pages","tests.test_scroll_up","Sat Aug 23 16:01:25 UTC 2025","passed","Sat Aug 23 16:01:28 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2375","Checking brands on static pages","tests.test_brands","Sat Aug 23 15:54:46 UTC 2025","passed","Sat Aug 23 15:54:48 UTC 2025","","test_brands","",""
